#,"Entry ID","Ip Address","User","Datetime","Action","Module"
1,"5","::1","guest","2016-07-18 08:51:18am","Logged in","/barangay/modules/bsystem/main.php"
2,"6","::1","guest","2016-07-18 08:52:52am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/home.php"
3,"7","::1","guest","2016-07-18 08:53:49am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/home.php"
4,"8","::1","guest","2016-07-18 08:53:49am","Query executed: SELECT bulletin_id, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category='information' ","/barangay/modules/bsystem/home.php"
5,"9","::1","guest","2016-07-18 08:53:49am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/home.php"
6,"10","::1","guest","2016-07-18 08:53:53am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/documents.php"
7,"11","::1","guest","2016-07-18 08:53:53am","Query executed: SELECT d.document_name, r.requirement_name FROM document d JOIN requirement r ON d.document_id = r.document_id WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
8,"12","::1","guest","2016-07-18 08:53:53am","Query executed: SELECT DISTINCT document_name, document_description FROM document WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
9,"13","::1","guest","2016-07-18 08:53:57am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/request.php"
10,"14","::1","guest","2016-07-18 08:53:57am","Query executed: SELECT citizen_id FROM citizen WHERE username='guest'","/barangay/modules/bsystem/request.php"
11,"15","::1","guest","2016-07-18 08:54:02am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/documents.php"
12,"16","::1","guest","2016-07-18 08:54:03am","Query executed: SELECT d.document_name, r.requirement_name FROM document d JOIN requirement r ON d.document_id = r.document_id WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
13,"17","::1","guest","2016-07-18 08:54:03am","Query executed: SELECT DISTINCT document_name, document_description FROM document WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
14,"18","::1","guest","2016-07-18 08:54:04am","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/information.php"
15,"19","::1","guest","2016-07-18 08:54:26am","ILLEGAL ACCESS ATTEMPT - Tried to access '/barangay/modules/bulletin/listview_bulletin.php' without sufficient privileges.","/barangay/modules/bulletin/listview_bulletin.php"
16,"359","::1","guest","2016-07-18 04:47:38pm","Logged in","/barangay/modules/bsystem/main.php"
17,"360","::1","guest","2016-07-18 04:47:39pm","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/home.php"
18,"361","::1","guest","2016-07-18 04:47:39pm","Query executed: SELECT bulletin_id, bulletin_name,bulletin_description,file_document FROM bulletin WHERE category='information' ","/barangay/modules/bsystem/home.php"
19,"362","::1","guest","2016-07-18 04:47:39pm","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/home.php"
20,"363","::1","guest","2016-07-18 04:47:43pm","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/documents.php"
21,"364","::1","guest","2016-07-18 04:47:44pm","Query executed: SELECT d.document_name, r.requirement_name FROM document d JOIN requirement r ON d.document_id = r.document_id WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
22,"365","::1","guest","2016-07-18 04:47:44pm","Query executed: SELECT DISTINCT document_name, document_description FROM document WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
23,"366","::1","guest","2016-07-18 04:50:09pm","Pressed cancel button","/barangay/modules/bsystem/business_permit.php"
24,"367","::1","guest","2016-07-18 04:50:09pm","Query executed: SELECT bulletin_id,file_document FROM bulletin WHERE category='Main Event' ORDER BY bulletin_id DESC ","/barangay/modules/bsystem/documents.php"
25,"368","::1","guest","2016-07-18 04:50:10pm","Query executed: SELECT d.document_name, r.requirement_name FROM document d JOIN requirement r ON d.document_id = r.document_id WHERE is_offered='yes'","/barangay/modules/bsystem/documents.php"
